_ID,NAME,GROUP,DAY/HOUR/ROOM1,DAY/HOUR/ROOM2,DAY/HOUR/ROOM3,PROFESSOR1,PROFESSOR_EMAIL1,PROFESSOR2,PROFESSOR_EMAIL2
146,MODELO ESTANDAR DE LAS PARTICULAS FUNDAMENTALES,A,MARTES/17-19/F8,JUEVES/17-19/F8,,MAURO NAPSUCIALE MENDIVIL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
147,NEUROFISIOLOGIA,A,LUNES/10-12/LAB. DE BIOLOGIA EDIF. G,MIERCOLES/10-12/LAB. DE BIOLOGIA EDIF. G,JUEVES/10-12/LAB. DE BIOLOGIA EDIF. G,VICTOR HUGO HERNANDEZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
148,OPTICA,A-I,LUNES/15-17/F9,MIERCOLES/15-17/F9,JUEVES/8-10/LAB. DE FISICA EDIF. C,RIGOBERTO CASTRO BELTRAN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
149,OPTICA CUANTICA,A,LUNES/15-17/C3,JUEVES/15-17/C2,,CARLOS HERMAN WIECHERS MEDINA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
150,OPTICA NO-LINEAL,A,MARTES/17-19/C3,JUEVES/17-19/C3,,LORENA BERENICE VELAZQUEZ IBARRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
151,OPTIMIZACION Y SIMULACION DE PROCESOS,A,LUNES/17-19/CENTRO DE COMPUTO 2,JUEVES/17-19/CENTRO DE COMPUTO 2,,CHRISTIAN FELIPE RODRIGUEZ ROBLES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
152,PRINCIPIOS DE OPERACION DE EQUIPOS MEDICOS,A,LUNES/17-19/F6,MIERCOLES/17-19/AUDITORIO DEL EDIF. B,VIERNES/17-19/F6,EDGAR GONZALEZ CAMPOS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
153,PROBABILIDAD Y ESTADISTICA,A,MARTES/8-10/AUDITORIO G,JUEVES/8-10/AUDITORIO G,,FRANCISCO MIGUEL VARGAS LUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
154,PROBABILIDAD Y ESTADISTICA,B,MIERCOLES/10-12/F6,VIERNES/10-12/F6,,MARIA GUADALUPE LEON VERDIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
155,PROBABILIDAD Y ESTADISTICA,C,MARTES/8-10/F6,VIERNES/8-10/F6,,LENIN FRANCISCO ESCAMILLA HERRERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
156,PROBABILIDAD Y ESTADISTICA,D,LUNES/12-14/F6,MIERCOLES12-14/C2,,MARIA GUADALUPE LEON VERDIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
157,PROBLEMAS SOCIALES Y DEBATES CONTEMPORANEOS,A,MARTES/16-19/ AUDITORIO EDIF. G,,,FERNANDO AGUAS ANGEL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
158,PROCESAMIENTO DIGITAL DE IMAGENES MEDICAS,A,MARTES/17-19/CENTRO DE COMPUTO 1,JUEVES/17-19/CENTRO DE COMPUTO 1,VIERNES/17-19/CENTRO DE COMPUTO 1,ALAN LOPEZ MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
159,PROCESOS DE SEPARACION,A,MARTES/10-12/CENTRO DE COMPUTO 2,JUEVES/10-12/ CENTRO DE COMPUTO 2,,JULIO CESAR ARMAS PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
160,PROGRAMACION BASICA,A,LUNES/8-10/CENTRO DE COMPUTO 1,MIERCOLES/8-10/CENTRO DE COMPUTO 1,,IGNACIO RAUL ROSAS ROMAN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
161,PROGRAMACION BASICA,B,MARTES/12-14/CENTRO DE COMPUTO 1,JUEVES/12-14/CENTRO DE COMPUTO 1,,ARTURO VEGA GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
162,PROGRAMACION BASICA,C,LUNES/12-14/ CENTRO DE COMPUTO 2,VIERNES/12-14/CENTRO DE COMPUTO 2,,LUIS CARLOS PADIERNA GARCIA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
163,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE COMPUTO 2,MIERCOLES/12-14/ CENTRO DE COMPUTO 2,JUEVES/12-14/CENTRO DE COMPUTO 2,LUIS CARLOS PADIERNA GARCIA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
164,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/10-12/CENTRO DE COMPUTO 1,MARTES/15-17/CENTRO DE COMPUTO 1,JUEVES/15-17/CENTRO DE COMPUTO 1,ORLANDO MIGUEL MEDINA CAZARES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
165,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,C,MARTES/8-10/CENTRO DE COMPUTO 1,JUEVES/8-10/CENTRO DE COMPUTO 1,VIERNES/8-10/CENTRO DE COMPUTO 1,DELIA IRAZU HERNANDEZ FARIAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
166,PROGRAMACION ORIENTADA A OBJETOS Y EVENTOS,D,MIERCOLES/12-14/CENTRO DE COMPUTO 1,JUEVES/10-12/CENTRO DE COMPUTO 1,VIERNES/10-12/CENTRO DE COMPUTO 2,DELIA IRAZU HERNANDEZ FARIAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
167,PROPIEDADES FISICOQUIMICAS,A-I,JUEVES/12-14/C3,VIERNES/12-14/LAB. ELECTRONICA EDIF. D (AULA),MARTES/15-17/LAB DE QUIMICA EDIF. F,JOSE JORGE DELGADO GARCIA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,ANGELICA JACQUELINE CHAVEZ MARTINEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
168,QUIMICA ANALITICA,A-I,MARTES/10-13/LAB. DE QUIMICA EDIF. F,MIERCOLES/10-11/F8,VIERNES/10-12/F8,JOSE ANTONIO REYES AGUILERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
169,QUIMICA GENERAL,A-I,MARTES/16-17/F1,JUEVES/15-17/F1,MARTES/13-16/LAB. DE QUIMICA EDIF. G,MA. CONCEPCION GARCIA CASTANEDA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,ARGELIA ROSILLO DE LA TORRE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
170,QUIMICA GENERAL,B-IV,LUNES/10-12/ AUDITORIO EDIF. G,JUEVES/9-10/C2,MARTES/10-13/LAB. DE QUIMICA EDIF. G,LEONARDO ALVAREZ VALTIERRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,LAURA EDITH CASTELLANO TORRES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
171,QUIMICA GENERAL,C-II,MIERCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIERCOLES/8-11/LAB. DE QUIMICA EDIF. G,SUSANA FIGUEROA GERSTENMAIER,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JUAN FRANCISCO RAYAS ROJAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
172,QUIMICA GENERAL,C-III,MIERCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIERCOLES/12-15/LAB. DE QUIMICA EDIF. G,SUSANA FIGUEROA GERSTENMAIER,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
173,QUIMICA INORGANICA DESCRIPTIVA,A-I,JUEVES/9-10/ G1,VIERNES/8-10/F1,JUEVES/10-13/LAB. DE QUIMICA EDIF. G,MARIA DE LOS ANGELES MENDOZA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
174,QUIMICA INORGANICA DESCRIPTIVA,B-II,MARTES/10-12/F8,VIERNES/11-12/F7,LUNES/11-14/LAB. DE QUIMICA EDIF. G,SVETLANA KASHINA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
175,QUIMICA ORGANICA AVANZADA,A-I,LUNES/12-15/F1,JUEVES/8-11/LAB. DE QUIMICA EDIF. F,,ANA LILIA GONZALEZ YEBRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
176,QUIMICA ORGANICA AVANZADA,A-II,LUNES/12-15/F1,MIERCOLES/11-14/LAB. DE QUIMICA EDIF. F,,ANA LILIA GONZALEZ YEBRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,LEONARDO ALVAREZ VALTIERRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
177,QUIMICA ORGANICA BASICA,A-I,MARTES/8-10/F2,JUEVES/8-9/G1,LUNES/8-11/LAB. DE QUIMICA EDIF. F,BIRZABITH MENDOZA NOVELO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,ARGELIA ROSILLO DE LA TORRE,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
178,QUIMICA ORGANICA BASICA,A-III,MARTES/8-10/F2,JUEVES/8-9/G1,VIERNES/8-11/LAB. DE QUIMICA EDIF. F,BIRZABITH MENDOZA NOVELO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,PEDRO ULISES MUNOZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
179,QUIMICA ORGANICA BASICA,B-V,MIERCOLES/10-12/F7,VIERNES/10-11/F7,JUEVES/12-15/LAB. DE QUIMICA EDIF. F,MARIA DE LOS ANGELES MENDOZA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,LAURA EDITH CASTELLANO TORRES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
180,QUIMICA ORGANICA BASICA,B-VI,MIERCOLES/10-12/F7,VIERNES/10-11/F7,VIERNES/12-15/LAB. DE QUIMICA EDIF. F,MARIA DE LOS ANGELES MENDOZA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,MA. ARACELI RUIZ AVALOS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
181,QUIMICA ORGANICA BASICA,C-II,MIERCOLES/11-12/F8,VIERNES/12-14/F8,MIERCOLES/8-11/LAB. DE QUIMICA EDIF. F,PEDRO ULISES MUNOZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,GUSTAVO BASURTO ISLAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
182,QUIMICA ORGANICA BASICA,C-IV,MIERCOLES/11-12/F8,VIERNES/12-14/F8,LUNES/12-15/LAB. DE QUIMICA EDIF. F,PEDRO ULISES MUNOZ GONZALEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,BIRZABITH MENDOZA NOVELO,"THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT."">"
183,RADIOLOGIA,A,LUNES/10-14/AUDITORIO EDIF. B,MARTES/15-17/C2,,KENIA MADRAZO DE LA ROSA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
184,SEGURIDAD E HIGIENE LABORAL,A,JUEVES15-18/AUDITORIO DE EDIF. G,,,EDGAR VAZQUEZ NUNEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
185,SEGURIDAD EN EQUIPO MEDICO,A,SABADO/8-14/F7,,,JOSE GONZALEZ CRUZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
186,SIMULACION MOLECULAR Y QUIMICA COMPUTACIONAL,A,LUNES/10-12/LAB. DE ESPECTROSCOPIA,MIERCOLES/11-13/LAB. DE ESPECTROSCOPIA,,JOSUE ADIN MINGUELA GALLARDO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
187,SINTESIS DE POLIMEROS,A,LUNES/18-20/VIRTUAL AL 12 DE MARZO,JUEVES/18-20/VIRTUAL AL 12 DE MARZO,,RAMON OCTAVIO SIERRA LUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
188,SISTEMAS LINEALES,A,MARTES/10-12/F5,VIERNES/10-12/F9,,EDUARDO MONTES RAMIREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
189,SISTEMAS LINEALES,B,MARTES/12-14/G1,JUEVES/12-14/F9,,ARTURO GONZALEZ VEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
190,SISTEMAS LINEALES,C,MARTES/17-19/F6,JUEVES/17-19/F6,,HUETZIN AARON PEREZ OLIVAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
191,TALLER DE HERRAMIENTAS PARA EL APRENDIZAJE,A,VIERNES/12-15/CENTRO DE COMPUTO 1,,,MA. DEL CARMEN VARELA CHAVEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
192,TECNICAS FISICAS PARA DIAGNOSTICO MEDICO Y TERAPIA,A,LUNES/8-10/LAB. DE BIOLOGIA EDIF. G,LUNES/17-19/LAB. DE BIOLOGIA EDIF. G,,MARIA MAGDALENA ROBLES RAMIREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
193,TEORIA CLASICA DE CAMPOS,A,MARTES/17-19/F7,JUEVES/17-19/F1,,SAGRARIO SANTILLAN FLORES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
194,TEORIA DE GRUPOS,A,MARTES/17-19/C2,JUEVES/17-19/C2,,CARLOS ALBERTO VAQUERA ARAUJO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
195,TERMODINAMICA,A-I,MARTES/13-15/F5,JUEVES/12-14/F5,VIERNES/12-14/LA. DE QUIMICA EDIF. G,MA. ARACELI RUIZ AVALOS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JAIME MARTINEZ RIVERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
196,TERMODINAMICA,B-II,MARTES/8-10/ C3,VIERNES/8-10/C3,JUEVES/8-10/LAB. DE QUIMICA EDIF. G,RAMON CASTANEDA PRIEGO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JUAN FRANCISCO RAYAS ROJAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
197,TERMODINAMICA QUIMICA,A,LUNES/10-12/F2,MIERCOLES/8-10/CENTRO DE COMPUTO 2,VIERNES/8-10/CENTRO DE COMPUTO 2,SUSANA FIGUEROA GERSTENMAIER,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JULIO CESAR ARMAS PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
198,TOPICOS SELECTOS DE INGENIERIA MOLECULAR (ESPECTROSCOPIA),A,MARTES/13-15/LAB. DE ESPECTROSCOPIA,VIERNES/12-14/LAB. DE ESPECTROSCOPIA,,SERGIO AUGUSTO ROMERO SERVIN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
199,VARIABLE COMPLEJA,A,LUNES/8-10/F9,MIERCOLES/8-10/F9,,JOSE TORRES ARENAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
200,VARIABLE COMPLEJA,B,MIERCOLES/10-12/F5,VIERNES/12-14/F5,,JOSE TORRES ARENAS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
201,VARIABLE COMPLEJA,C,MARTES/12-14/C3,MIERCOLES/10-12/C3,,OSCAR MIGUEL SABIDO MORENO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
