_ID,NAME,GROUP,DAY/HOUR/ROOM1,DAY/HOUR/ROOM2,DAY/HOUR/ROOM3,PROFESSOR1,PROFESSOR_EMAIL1,PROFESSOR2,PROFESSOR_EMAIL2
30,CALCULO DE VARIAS VARIABLES,B,LUNES/15-17/F8,MIERCOLES/15-17/F8,,MANUEL MARTINEZ JIMENEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
31,CALCULO DE VARIAS VARIABLES,C,MARTES/15-17/F5,JUEVES/15-17/F5,,LORENA BERENICE VELAZQUEZ IBARRA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
32,CALCULO DIFERENCIAL,A,LUNES/10-12/F1,MIERCOLES/10-12/F1,,CARSTEN HOLTFORT,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
33,CALCULO DIFERENCIAL,B,MARTES/10-12/F2,JUEVES/10-12/F2,,OCTAVIO JOSE OBREGON DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
34,CALCULO DIFERENCIAL,C,MARTES/12-14/F8,JUEVES/12-14/F8,,CARSTEN HOLTFORT,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
35,CALCULO DIFERENCIAL,D,MARTES/15-17/G1,JUEVES/15-17/G1,,EDUARDO MARTINEZ RAMIREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
36,CALCULO DIFERENCIAL,E,LUNES/12-14/G1,JUEVES/12-14/G1,,AZARAEL ADONAY YEBRA PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
37,CALCULO INTEGRAL,A,MARTES/10-12/F7,JUEVES/10-12/F7,,PABLO DANIEL YEPIZ GRACIANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
38,CALCULO INTEGRAL,B,MIERCOLES/10-12/G1,VIERNES/10-12/G1,,ETNA DAFNE YANEZ ROLDAN,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
39,CALCULO INTEGRAL,C,LUNES/12-14/F2,MIERCOLES/12-14/F2,,MODESTO ANTONIO SOSA AQUINO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
40,CALCULO INTEGRAL,D,MARTES/12-14/F1,JUEVES/12-14/F1,,LENIN FRANCISCO ESCAMILLA HERRERA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
41,CALCULO INTEGRAL,E,LUNES/15-17/F2,MIERCOLES/15-17/F2,,EDUARDO MARTINEZ RAMIREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
42,CALCULO INTEGRAL,F,MARTES/15-17F2,JUEVES/15-17/F2,,LUIS ARTURO URENA LOPEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
