UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
ELECTRICIDAD Y MAGNETISMO,A-VI,MARTES/10-12/F6,JUEVES/10-12/F6,VIERNES/8-10/LAB. DE FÍSICA EDIF. G,JOSÉ SOCORRO GARCÍA DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ELECTRICIDAD Y MAGNETISMO,A-VII,MARTES/10-12/F6,JUEVES/10-12/F6,LUNES/10-12/LAB. DE FÍSICA EDIF. G,JOSÉ SOCORRO GARCÍA DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,JULIÁN FÉLIX VALDEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,B-IX,JUEVES/10-12/F5,VIERNES/10-12/F5,VIERNES/8-10/LAB. DE FÍSICA EDIF. C,ÉRICK SARMIENTO GÓMEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,JULIÁN FÉLIX VALDEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,B-V,JUEVES/10-12/F5,VIERNES/10-12/F5,MARTES/10-12/LAB. DE FÍSICA EDIF. C,ÉRICK SARMIENTO GÓMEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,ÉDGAR VALENCIA RODRÍGUEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,C-III,LUNES/10-12/F7,JUEVES/12-14/F7,MIÉRCOLES/10-12/LAB. DE FÍSICA EDIF. G,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSÉ SOCORRO GARCÍA DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,C-IV,LUNES/10-12/F7,JUEVES/12-14/F7,MIÉRCOLES/10-12/LAB. DE FÍSICA EDIF. C,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,JULIÁN FÉLIX VALDEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,D-I,LUNES/12-14/F7,VIERNES/12-14/F2,JUEVES/8-10/LAB. DE FÍSICA EDIF. G,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,GEORFREY HUMBERTO ISRAEL MAURY CUNA,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,D-II,LUNES/12-14/F7,VIERNES/12-14/F2,JUEVES/12-14/LAB. DE FÍSICA EDIF. C,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,GEORFREY HUMBERTO ISRAEL MAURY CUNA,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,E-V,LUNES/15-17/F6,VIERNES/15-17/F6,MARTES/10-12/LAB. DE FÍSICA EDIF. C,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,ÉDGAR VALENCIA RODRÍGUEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTRICIDAD Y MAGNETISMO,E-VIII,LUNES/15-17/F6,VIERNES/15-17/F6,MIÉRCOLES/8-10/LAB. DE FÍSICA EDIF. C,MA. ISABEL DELGADILLO CANO,This email address is being protected from spambots. You need JavaScript enabled to view it.,JULIÁN FÉLIX VALDEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
ELECTROMAGNETISMO,A,MARTES/10-12/AUDITORIO DEL EDIF. B,JUEVES/10-12/ AUDITORIO DEL EDIF. B, ,RAMÓN CASTAÑEDA PRIEGO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ELECTROMAGNETISMO,B,MARTES/8-10/F7,JUEVES/8-10/F7, ,GERARDO GUTIÉRREZ JUÁREZ,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
ESTRUCTURA DE LA MATERIA,A,MIÉRCOLES/12-13/ AUDITORIO EDIF. G,JUEVES/10-12/C3, ,JOSÉ JORGE DELGADO GARCÍA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
EVALUACIÓN DE TECNOLOGÍA HOSPITALARIA,A,MARTES/17-19/F9,JUEVES/17-19/F9, ,ÉDGAR GONZÁLEZ CAMPOS,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FENÓMENOS DE TRANSPORTE,A,MIÉRCOLES/8-10/F5,VIERNES/8-10/F5, ,IRAIS AMARANTA QUINTERO ORTEGA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FÍSICA CUÁNTICA,A-I,LUNES/15-17/F1,MIÉRCOLES/15-17/F1,JUEVES/15-17/LAB. DE FÍSICA EDIF. G,JOSÉ LUIS LUCIO MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,MIGUEL ÁNGEL HONORATO COLÍN,This email address is being protected from spambots. You need JavaScript enabled to view it.
FÍSICA CUÁNTICA,A-II,LUNES/15-17/F1,MIÉRCOLES/15-17/F1,MARTES/15-17/LAB DE FÍSICA EDIF. G,JOSÉ LUIS LUCIO MARTÍNEZ,This email address is being protected from spambots. You need JavaScript enabled to view it.,MIGUEL ÁNGEL HONORATO COLÍN,This email address is being protected from spambots. You need JavaScript enabled to view it.
